Player,Country,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills,Split
1116, TW,43,65.1%,3.8,3.7,2.7,6.6,8.3,402,65.2%,22.4,456,1.15,0.45,0.19,0.19,236,3,204,25.6%,4.7%,1,8,2021 Summer
113, TR,41,53.7%,2.6,3.4,3.7,6.2,5.3,333,72.2%,19.3,399,1.29,0.43,0.28,0.34,-191,-7,-345,48.8%,7.3%,0,5,2021 Summer
2T, VN,2,100%,4.3,3.5,3.0,9.5,8.2,407,51.6%,12.2,330,1.07,0.59,0.15,0.3,418,22,460,0%,50%,0,-,2021 Summer
369, CN,14,57.1%,2.7,2.5,3.1,6.0,8.1,404,57%,27.2,597,-,-,-,-,-,-,-,-,-,-,-,2021 Summer
3z, TW,18,5.6%,0.9,1.7,5.2,3.3,7.1,344,47.5%,25.3,471,0.89,0.46,0.14,0.18,-343,4,-186,0%,27.8%,0,3,2021 Summer
5Kid, KR,18,44.4%,4.8,2.9,1.3,3.6,10.3,425,56.1%,27.0,488,1.28,0.54,0.38,0.2,-502,-4,-241,11.1%,11.1%,0,1,2021 Summer
AHaHaCiK, RU,33,60.6%,3.5,2.7,2.9,7.4,5.4,345,66.7%,16.5,332,1.33,0.35,0.32,0.22,-17,-5,-155,33.3%,6.1%,0,8,2021 Summer
AKi, CN,40,47.5%,3.6,2.3,2.4,6.3,5.7,330,67.4%,17.1,327,-,0.32,0.3,0.24,-,-,-,-,-,0,-,2021 Summer
APA, US,9,55.6%,4.3,4.0,2.6,7.1,7.9,390,73.7%,29.7,611,1.09,0.45,0.14,0.1,-627,-8,-98,22.2%,0%,0,2,2021 Summer
Abbedagge, DE,49,65.3%,4.1,2.9,2.2,6.1,8.6,399,67%,23.7,441,1.33,0.52,0.24,0.23,-8,0,146,20.4%,6.1%,0,14,2021 Summer
Ablazeolive, CA,30,36.7%,2.7,3.6,3.0,4.7,8.1,391,68.3%,26.1,515,1.14,0.44,0.26,0.21,367,3,18,13.3%,20%,0,6,2021 Summer
Able, CN,40,47.5%,3.2,3.9,2.6,4.5,9.3,426,62.5%,26.1,505,-,0.53,0.5,0.04,0,0,0,-,-,0,-,2021 Summer
Absolut, BR,2,50%,5,1.0,1.5,6.5,8.5,352,69.4%,26.0,382,1.03,0.49,0.3,0.19,-460,-2,166,0%,0%,0,-,2021 Summer
Absolute, TR,23,52.2%,2.4,0.7,4.0,8.7,1.1,229,63.2%,6.4,138,1.98,1.24,0.19,0.4,-69,-3,139,17.4%,30.4%,0,-,2021 Summer
Acce, AR,27,59.3%,4,1.9,2.2,7.0,6.6,338,55.3%,17.8,378,0.96,0.37,0.2,0.2,-265,-6,22,22.2%,7.4%,0,5,2021 Summer
Acciy, JP,9,11.1%,1.7,2.0,4.2,5.1,5.2,299,57.9%,12.4,219,1.32,0.34,0.39,0.39,-488,0,-169,33.3%,11.1%,0,1,2021 Summer
Ace0, ES,1,100%,8,4.0,1.0,4.0,8.0,370,53.3%,17.6,304,0.78,0.42,0.06,0.15,-785,-14,-366,0%,0%,0,-,2021 Summer
Acee, JP,19,52.6%,3.5,2.8,3.0,7.7,7.2,358,74.7%,22.9,491,0.95,0.4,0.18,0.23,-304,-7,-410,36.8%,5.3%,0,2,2021 Summer
Achuu, DK,16,31.3%,2.8,3.7,3.1,5.0,8.3,398,59.7%,29.7,614,1.19,0.42,0.27,0.16,-252,-5,-240,31.3%,12.5%,0,3,2021 Summer
Ackerman, AR,27,63%,6.1,0.6,1.6,9.2,1.5,244,66.4%,9.0,179,3.09,1.63,0.48,0.49,-20,-0,298,25.9%,7.4%,0,-,2021 Summer
Adam, FR,46,54.3%,2.3,3.3,3.7,5.2,7.7,397,49.8%,22.2,462,0.96,0.44,0.17,0.19,-271,-9,-351,28.3%,15.2%,0,31,2021 Summer
Adept, SE,26,61.5%,3,1.2,3.3,8.8,1.0,234,70.9%,8.5,165,2.43,1.37,0.32,0.45,73,-2,-119,50%,0%,0,1,2021 Summer
Adiss, CZ,38,47.4%,2.3,2.7,3.3,5.0,7.7,381,46.8%,23.8,479,0.9,0.36,0.15,0.17,144,6,292,7.9%,10.5%,0,24,2021 Summer
Advienne, NL,22,59.1%,4,0.7,2.9,10.7,1.2,238,70.6%,6.8,140,2.52,1.34,0.35,0.52,-24,-3,-84,40.9%,9.1%,0,1,2021 Summer
Aegis, BR,38,57.9%,4.1,3.7,2.7,7.4,6.5,374,67.4%,17.6,357,1.02,0.41,0.17,0.35,300,5,257,21.1%,2.6%,0,7,2021 Summer
Aeiden, PH,22,27.3%,1.9,0.7,4.5,7.8,1.2,225,65.8%,8.3,145,2.21,1.37,0.3,0.42,-86,2,63,27.3%,13.6%,0,1,2021 Summer
Aesthetic, SE,16,31.3%,2.3,3.4,3.6,5.0,6.5,359,69.3%,20.5,436,1.16,0.39,0.23,0.32,36,2,179,31.3%,12.5%,0,4,2021 Summer
Afm, PT,28,53.6%,3.6,3.5,2.4,5.3,8.1,402,62.8%,24.2,513,1.23,0.41,0.3,0.15,-11,-0,-73,7.1%,3.6%,0,3,2021 Summer
Agresivoo, PL,48,66.7%,4.1,3.5,2.3,5.9,7.9,401,57.4%,23.8,510,1.13,0.42,0.21,0.2,275,4,286,22.9%,6.3%,0,20,2021 Summer
Aiming, KR,44,54.5%,4.5,3.4,2.1,6.0,9.5,438,67.8%,30.3,609,-,0.47,0.4,0.14,0,0,0,-,-,0,-,2021 Summer
Aithusa, BR,21,57.1%,3.9,4.6,2.6,5.3,7.9,401,68.5%,25.8,532,1.23,0.5,0.15,0.21,22,1,44,38.1%,9.5%,0,8,2021 Summer
Akaadian, US,39,35.9%,2.9,3.1,3.1,5.9,6.0,350,75.1%,20.0,363,1.21,0.33,0.31,0.26,-17,-3,-125,41%,10.3%,0,3,2021 Summer
Akabane, FR,62,66.1%,4.5,4.5,2.9,8.3,5.8,379,72.8%,15.7,354,1.24,0.43,0.27,0.4,-37,-6,-168,40.3%,4.8%,1,9,2021 Summer
Akabuff, JP,9,44.4%,5.3,4.0,1.8,5.3,9.0,418,61.7%,27.5,450,1.29,0.49,0.33,0.2,19,4,184,11.1%,0%,0,-,2021 Summer
Akainu, JP,9,11.1%,2,3.3,4.2,5.1,8.1,377,70.6%,26.8,457,0.99,0.43,0.18,0.17,-137,4,52,22.2%,0%,0,3,2021 Summer
Akano,,16,37.5%,1.9,3.8,5.1,5.8,4.7,320,65.9%,17.6,334,1.08,0.29,0.26,0.31,-547,-12,-467,18.8%,18.8%,0,3,2021 Summer
Aku, FR,36,66.7%,5.2,1.0,2.5,11.9,0.9,248,74.7%,9.2,188,2.6,1.26,0.45,0.2,183,-5,334,16.7%,8.3%,0,-,2021 Summer
Aladoric, AU,35,68.6%,4.4,0.9,2.7,11.2,1.2,246,69.4%,8.1,154,2.79,1.75,0.37,0.62,210,3,169,40%,5.7%,0,1,2021 Summer
Alby, NL,30,63.3%,4.1,3.7,2.7,7.2,6.5,377,64.4%,18.2,396,1.39,0.39,0.33,0.26,244,4,315,40%,6.7%,0,4,2021 Summer
Alchemy, JP,12,50%,2.5,0.8,3.7,8.4,1.1,224,74.6%,7.3,141,2.27,1.53,0.3,0.47,-386,-1,-219,8.3%,16.7%,0,-,2021 Summer
Ale, CN,81,59.3%,3,3.8,2.8,4.5,8.3,411,59.2%,25.8,493,0.88,0.35,0.19,0.17,681,6,483,6.2%,1.2%,0,17,2021 Summer
Alex, TW,11,54.5%,2.4,2.6,3.6,6.2,5.7,334,68.6%,15.4,293,1.57,0.39,0.47,0.31,-281,7,-41,36.4%,18.2%,0,2,2021 Summer
