Player,Country,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CS-Min,Gold-Min,KP%,DMG%,DP-Min,Vision Puntuation Min,Avg Wards Min,Avg Wards Cleared Min,Avg Vision Wards Min,Gold Difference Min-15,CS Difference Min-15,XP Difference Min-15,First Blood Participation %,First Blood Victim %,Penta Kills,Solo Kills,Split,Team
1116, TW,28.0,57.1,4.1,2.6,2.2,6.5,8.0,377.0,67.1,27.6,581.0,1.42,0.37,0.28,0.25,-78.0,-0.0,-181.0,32.1,10.7,0.0,3.0,2023 Spring,
113, TR,33.0,42.4,2.5,1.8,3.7,7.6,4.4,312.0,72.9,14.3,304.0,1.43,0.31,0.32,0.28,-361.0,-15.0,-491.0,42.4,21.2,0.0,3.0,2023 Spring,
1Blue, KR,10.0,10.0,0.9,1.4,3.8,2.0,8.2,351.0,38.7,27.0,494.0,0.91,0.32,0.14,0.1,-690.0,-2.0,-358.0,0.0,30.0,0.0,3.0,2023 Spring,
2Trick, NL,13.0,30.8,2.0,1.4,4.8,8.2,0.9,226.0,51.8,9.0,228.0,2.31,0.77,0.31,0.22,-168.0,-5.0,-333.0,15.4,7.7,0.0,,2023 Spring,
369, CN,48.0,77.1,3.7,2.4,2.3,5.9,7.8,383.0,53.7,21.1,509.0,,,,,,,,,,,,2023 Spring,
5Kid, KR,28.0,53.6,3.8,4.2,2.3,4.7,9.9,450.0,68.6,30.3,697.0,1.54,0.42,0.4,0.18,211.0,11.0,87.0,25.0,14.3,0.0,5.0,2023 Spring,
6ax, BG,18.0,50.0,3.3,3.3,2.7,5.6,8.0,393.0,67.8,30.7,666.0,1.14,0.37,0.2,0.15,183.0,4.0,-25.0,27.8,5.6,0.0,6.0,2023 Spring,
9eetoo, PS,15.0,40.0,2.5,3.1,3.1,4.7,7.3,380.0,46.9,22.3,482.0,1.11,0.27,0.18,0.15,-275.0,-11.0,-362.0,20.0,6.7,0.0,8.0,2023 Spring,
ACD, EE,32.0,68.8,3.1,3.2,2.9,6.0,7.8,410.0,54.8,24.2,637.0,1.26,0.36,0.19,0.11,380.0,10.0,236.0,15.6,9.4,0.0,12.0,2023 Spring,
ADD, KR,37.0,48.6,2.3,2.4,3.4,5.3,7.8,390.0,49.8,24.4,567.0,1.24,0.4,0.2,0.14,41.0,0.0,-174.0,8.1,24.3,0.0,12.0,2023 Spring,
