,,,,,Per Game Stats,,,,,,Per Minute Stats,,,,Percentage Stats,
Team,M,G,W,L,Kills,Deaths,Towers,Inhibitors,Dragons,Barons,Gold,Creep Score,Wards,Wards Cleared,First Tower,First Blood
Movistar Riders,175,212,124,88,14.7,12.4,6.8,1.1,2.8,0.8,"1,802.1",31.8,3.3,1.4,61.8,51.9
Vodafone Giants.Spain,119,154,98,56,12.9,10.9,7.2,1.3,2.8,0.9,"1,801.0",32.3,3.3,1.5,63.0,52.6
G2 Arctic,116,144,76,68,12.8,13.5,6.6,1.0,2.3,0.7,"1,764.0",31.6,3.4,1.4,61.8,46.5
UCAM Esports Club,96,114,58,56,12.5,12.0,5.9,0.9,2.5,0.7,"1,722.7",31.5,3.4,1.5,50.9,48.2
MAD Lions Madrid,111,120,51,69,12.4,12.7,5.8,0.8,2.4,0.7,"1,738.2",31.7,3.3,1.4,50.8,56.7
Fnatic TQ,58,67,45,22,15.9,13.2,7.4,1.2,2.7,0.9,"1,859.5",32.2,3.0,1.3,58.2,55.2
BISONS ECLUB,62,82,43,39,14.4,14.7,5.9,0.8,2.3,0.7,"1,789.2",31.5,2.8,1.4,45.1,47.6
Cream Real Betis,60,76,41,35,12.8,12.7,6.4,1.1,2.2,0.8,"1,770.6",32.2,3.2,1.4,36.8,43.4
S2V Esports,108,111,41,70,11.6,14.0,5.2,0.6,2.0,0.6,"1,726.8",31.8,3.3,1.4,40.5,46.8
Team Queso,92,100,39,61,11.6,13.4,5.7,0.9,2.4,0.6,"1,716.4",31.2,3.2,1.4,48.0,43.0
"Bar&ccedil;a eSports",58,70,38,32,13.9,13.3,6.8,1.1,2.1,0.8,"1,810.7",32.4,2.9,1.5,48.6,45.7
eMonkeyz,109,112,34,78,10.2,14.3,4.4,0.6,2.0,0.5,"1,678.3",31.0,3.2,1.3,30.4,41.1
Origen BCN,40,56,34,22,12.6,10.3,6.6,1.2,2.3,0.7,"1,744.6",31.4,3.1,1.2,44.6,51.8
Giants Gaming,57,64,33,31,12.8,12.6,6.3,0.9,2.3,0.7,"1,817.8",32.9,3.1,1.4,43.8,60.9
G2 Heretics,40,50,29,21,14.2,11.6,7.0,1.3,2.3,0.7,"1,819.1",32.4,3.4,1.3,62.0,58.0
KOI,40,52,26,26,12.6,12.3,6.3,0.9,2.1,0.7,"1,781.2",32.7,3.3,1.4,44.2,40.4
Team Heretics,38,43,26,17,13.5,11.5,6.9,1.3,2.7,0.9,"1,817.7",31.9,3.1,1.5,51.2,48.8
MAD Lions E.C.,38,44,25,19,12.8,11.4,6.8,1.1,2.0,0.8,"1,790.1",31.8,3.2,1.4,56.8,65.9
BCN Squad,71,71,23,48,11.9,14.5,5.0,0.6,2.4,0.6,"1,702.3",31.2,3.1,1.3,45.1,50.7
UCAM Penguins,39,46,22,24,12.0,14.0,5.9,1.0,2.3,0.7,"1,756.4",31.3,3.5,1.3,52.2,54.3
UCAM Tokiers,38,44,19,25,13.2,14.9,5.6,0.8,2.2,0.8,"1,763.0",31.6,2.7,1.4,43.2,40.9
x6tence,54,54,19,35,10.1,13.8,5.1,0.7,2.1,0.5,"1,692.3",31.0,3.1,1.2,46.3,51.9
Splyce Vipers,21,30,17,13,14.4,11.3,6.4,1.2,1.9,0.8,"1,797.5",31.6,3.1,1.3,36.7,43.3
Team Heretics Academy,20,25,16,9,16.5,12.4,7.4,1.3,2.9,1.0,"1,880.0",32.0,2.8,1.6,60.0,88.0
Rebels Gaming,20,26,16,10,13.3,14.2,6.4,1.0,2.2,0.8,"1,797.6",31.7,2.9,1.5,26.9,42.3
Guasones,21,31,9,22,12.3,15.3,5.5,0.7,1.8,0.7,"1,738.7",31.1,2.4,1.4,35.5,45.2
KOI Academy,18,18,6,12,11.1,12.6,6.1,0.8,1.8,0.6,"1,731.9",31.9,2.2,1.3,44.4,55.6
Case Esports,3,12,6,6,11.5,10.3,6.3,0.8,2.9,0.6,"1,714.8",30.6,3.4,1.4,58.3,33.3
